,GBC_PC1_ztstat,GBC_PC2_ztstat,GBC_PC3_ztstat,GBC_PC4_ztstat,GBC_PC5_ztstat
AC068353.1,-0.071372993,-0.040028906,0.302023839,-0.267770317,0.094872309
AC068385.1,0.059600213,-0.057562375,-0.000853057,-0.029001995,-0.017093181
AC068491.1,-0.075404397,0.08189093,-0.364533218,0.104342198,-0.349679132
AC068580.3,0.137696797,0.104246475,0.102493246,0.159719805,0.307444106
AC068658.1,0.122285169,0.16779881,-0.031119252,0.209356183,0.253772709
AC068989.2,0.235357059,-0.002900775,0.073666047,-0.079447979,0.079076487
AC069029.1,0.072400722,-0.008966724,-0.080221098,0.164967038,-0.036776158
AC069146.2,0.059093691,0.250427356,0.101704943,0.114523864,0.443358984
AC069154.2,0.02566738,-0.060632744,0.030910562,-0.031321846,0.025476438
AC069234.1,0.426781769,-0.119903918,0.107722165,-0.004044595,-0.057800294
AC069525.1,-0.264621642,0.220160086,-0.165242455,0.228193465,0.006495357
AC073043.2,0.132583333,0.080015878,-0.042952779,0.06695347,0.200067884
AC073135.1,-0.014196071,-0.037344779,-0.006169095,0.190287323,0.251916858
AC073343.8,-0.155373111,0.07979859,-0.075769486,0.138744747,0.183036629
AC073346.1,0.347037753,-0.097535124,-0.033493079,0.047497285,-0.064887793
AC073548.1,0.233166894,0.063780672,0.095071623,-0.129736941,0.122501925
AC073869.20,0.299706193,-0.196168338,0.213422616,-0.179347984,-0.022559385
AC074286.1,-0.232889003,0.237064371,-0.322625614,0.218471206,0.12065795
AC078802.1,0.162303721,-0.089273803,0.06992375,-0.013978041,-0.069155841
AC078847.1,0.413646394,-0.308870728,0.155905751,-0.041466609,-0.091698412
AC078937.4,0.423544084,-0.095902346,0.111159667,0.071930686,0.025561478
AC079061.1,-0.212134417,0.026390161,-0.10608138,-0.009564919,-0.182457379
AC079341.1,0.228386977,0.014273593,0.113529724,0.128964127,0.196415164
AC079776.2,0.240540391,0.032220668,0.067905749,-0.00546183,0.085541377
AC079953.2,-0.00013135,0.090637305,0.034364167,0.095393666,0.218130718
AC084018.1,-0.258449467,0.058887609,-0.113400513,-0.006517202,-0.085722672
AC084125.1,-0.093000482,-0.127778409,0.191308051,-0.135728714,-0.103670808
AC084209.1,0.048252833,-0.081806237,-0.038072007,-0.01681133,-0.107095792
AC084851.1,-0.11439633,0.003875433,-0.096988462,0.031417085,-0.085390075
AC087309.1,0.431115722,-0.093226827,0.205199995,-0.060288512,0.285060224
AC087392.3,0.193246978,-0.067426892,0.140441698,-0.056331144,-0.02091464
AC087645.1,-0.149269447,0.227020041,-0.115900294,0.136812703,0.106030364
AC087742.2,-0.050411204,0.151382906,0.080314984,-0.002344852,0.203053321
AC090099.4,-0.134706289,0.133595765,-0.082424742,0.102881676,0.135831388
AC090360.1,-0.106102996,0.095469184,0.053238242,0.068207407,0.284054023
AC090844.1,-0.085488202,0.025383261,0.094728601,0.153654947,0.352758771
AC091152.2,-0.286087387,0.264369635,-0.126881421,0.091095003,-0.191516726
AC091565.3,-0.245933974,0.005025932,0.072364512,-0.092775926,0.026965209
AC091878.1,-0.0156612,-0.015259744,0.197091109,-0.104611518,0.156500881
AC092070.4,0.166544849,0.117787997,-0.032297372,0.199203669,0.341740873
AC092070.5,-0.06780526,-0.021436129,-0.042285583,0.000471491,-0.033225151
AC092143.3,0.034783818,0.062292062,0.113002286,-0.014666479,0.0735495
AC092324.1,0.268397704,-0.090026267,0.012915569,0.000566386,-0.165559477
AC092327.1,0.223457249,-0.345032956,0.207422339,-0.103680996,0.01433464
AC092329.2,-0.414435965,0.108541451,-0.232634487,0.147537478,-0.034206828
AC092384.2,0.24668225,-0.101633415,0.048978443,-0.125743464,-0.096730859
AC092436.3,-0.159790968,0.034279535,-0.338011666,0.266566446,-0.141022845
AC092490.2,0.270936674,-0.039611138,-0.061788794,0.161784952,0.09639008
AC093063.1,0.335608079,-0.15971274,0.057056154,-0.123779693,-0.099626293
AC093283.3,0.136961164,-0.096874297,-0.112757318,0.134965519,-0.119401524
AC093310.1,0.257104214,-0.13197586,-0.090767344,0.037547918,-0.211937418
AC093726.2,0.128315056,0.024614784,-0.024206974,0.04330483,0.256313064
AC093734.11,0.340737429,-0.045313057,-0.042663522,0.113341427,-0.013306822
AC093838.4,-0.267470288,-0.019538107,-0.104644324,0.044218245,-0.194126054
AC093849.1,0.28541443,-0.16127048,0.273594735,-0.042214403,0.335281054
AC094086.1,-0.098881371,0.148623871,-0.015899363,-0.008948454,0.173620361
AC096655.2,-0.175234951,0.29186919,-0.14477436,0.075984057,-0.036492109
AC097067.1,0.033254068,-0.132098449,0.014417137,-0.029540929,-0.042090757
AC098591.2,0.305669542,0.024199508,0.001306884,0.164420124,0.182133079
AC098799.1,-0.207143343,0.207739814,-0.332029165,0.03797915,-0.287587651
AC099524.1,0.159232718,-0.007417834,0.074911096,-0.017258841,0.05901366
AC099759.1,-0.129292761,-0.077399024,-0.178946887,-0.219519617,-0.488863553
AC099797.1,-0.436887632,0.220249675,-0.081017853,0.140372013,0.108382565
AC100756.1,-0.174458583,0.100605583,-0.007551543,0.174471785,0.362810964
AC100775.1,0.216389619,0.053253457,0.020768495,0.063255985,0.122920005
AC100793.3,0.125080342,-0.011563914,-0.095713794,0.090016041,0.07291001
AC100803.1,-0.193607143,0.145078591,0.070845099,0.050506738,0.262986845
AC103540.1,-0.17596506,0.31751298,-0.14335867,-0.01269262,-0.043554445
AC103965.1,0.251999831,-0.031054334,0.044797955,-0.040612587,0.004927107
AC104665.1,0.109718242,-0.091957606,0.081878147,-0.016420808,0.014478768
AC104819.1,-0.291411591,-0.007271379,-0.106830482,-0.16133435,-0.344095679
AC105206.1,0.016165362,0.042779111,-0.019531528,-0.089707028,-0.087522475
AC105337.1,-0.432725929,0.288720312,-0.26516257,0.274362924,0.053737028
AC106037.2,0.095544504,0.031087122,0.037169367,0.092851618,0.122001975
AC106739.1,-0.017406732,-0.055028844,0.162446868,-0.225056016,-0.096546576
AC106818.2,0.032450867,-0.024617564,-0.060637312,0.114889311,0.088715794
AC107212.1,-0.28229511,0.280749796,-0.263821626,0.050435363,-0.232449432
AC107883.1,-0.119619278,0.079368346,-0.202180704,0.017782163,-0.043050375
AC107983.3,0.039454827,-0.081852517,-0.02871321,-0.065077356,-0.164322332
AC108134.5,-0.08897299,-0.046891137,-0.01406704,-0.008501971,-0.03577129
AC108938.1,0.075229874,0.147022401,-0.089695018,0.176401637,0.065526399
AC109486.1,0.314391446,-0.11839673,0.380073217,-0.191250602,0.130327928
AC110619.2,0.081014092,-0.129190383,0.072509774,-0.055911675,-0.026527854
AC110754.1,-0.453505725,0.21496257,-0.268753259,0.278457985,0.080762519
AC110760.2,-0.224164855,0.049213611,-0.029190657,0.011184232,-0.002598732
AC110814.1,0.137169312,0.104358379,0.106259439,0.124131772,0.394540742
